uipath_activity,uipath_type,power_automate_desktop_action,aa360_action,difficulty,notes,complex_handling
Take Test Screenshot,test_automation,UIAutomation.TakeScreenshotOfUIElement.TakeScreenshotOfUIElement,Test Screenshot,Low,Failure evidence,
Mobile Tap,mobile,Workstation.ControlScreenSaver,Mobile Tap,Very High,Mobile device automation,
Mobile Swipe,mobile,UIAutomation.DragAndDropElement,Mobile Swipe,Very High,Touch gesture handling,
Mobile Type,mobile,Exchange.SendMessage,Mobile Text Entry,Very High,Mobile keyboard interaction,
Mobile OCR,mobile,PDF.ExtractTextFromPDF.ExtractText,Mobile OCR,Very High,Mobile OCR extraction,
Queue Trigger,trigger,Cmd.WaitForText,Queue Trigger,High,Event driven execution,
File Trigger,trigger,Text.ChangeCase,File Trigger,Medium,Filesystem trigger,
Email Trigger,trigger,Cmd.WaitForText,Email Trigger,High,Mailbox trigger,
Schedule Trigger,trigger,COMMENT,Scheduler,Low,Time based execution,
Set Clipboard,clipboard,Clipboard.SetText,Clipboard Set,Low,Clipboard operation,
Get Clipboard,clipboard,Clipboard.SetText,Clipboard Get,Low,Clipboard retrieval,
Clear Clipboard,clipboard,Clipboard.SetText,Clipboard Clear,Low,Clipboard cleanup,
Resize Image,image_processing,COMMENT,Image Resize,Medium,Image preprocessing,
Crop Image,image_processing,COMMENT,Image Crop,Medium,Image preprocessing,
Convert Image,image_processing,File.ConvertFromBinary,Image Convert,Medium,Image transformation,
Enhance Image,image_processing,COMMENT,Image Enhancement,High,Image preprocessing,
Validate XML Schema,data,COMMENT,XML Validation,High,XML schema validation,
Validate JSON Schema,data,COMMENT,JSON Validation,High,JSON schema validation,
Azure Blob Upload,cloud,Web.InvokeSoapService.InvokeSoapService,Azure Blob Upload,High,Azure storage integration,
Azure Blob Download,cloud,Web.InvokeSoapService.InvokeSoapService,Azure Blob Download,High,Azure storage integration,
AWS S3 Upload,cloud,Web.InvokeSoapService.InvokeSoapService,AWS S3 Upload,High,AWS storage integration,
AWS S3 Download,cloud,Web.InvokeSoapService.InvokeSoapService,AWS S3 Download,High,AWS storage integration,
GCP Storage Upload,cloud,Web.InvokeSoapService.InvokeSoapService,GCP Storage Upload,High,GCP storage integration,
GCP Storage Download,cloud,Web.InvokeSoapService.InvokeSoapService,GCP Storage Download,High,GCP storage integration,
Read Clipboard Image,clipboard,Clipboard.Clear,Clipboard Image Read,Medium,Clipboard image handling,
Set Clipboard Image,clipboard,Clipboard.Clear,Clipboard Image Write,Medium,Clipboard image handling,
Monitor Process,system,Cmd.WaitForText,Process Monitor,Medium,Runtime monitoring,
Wait For Window,system,PowerPlatform.RunPowerApp,Window Wait,Low,Window synchronization,
Wait For Process,system,Cmd.WaitForText,Process Wait,Low,Process synchronization,
Screen Recording,utility,XML.RemoveElement,Screen Recorder,Medium,Execution recording,
Capture Region,utility,UIAutomation.TakeScreenshotOfUIElement.TakeScreenshotOfUIElement,Capture Region,Low,Region capture,
XML XPath,data,XML.ExecuteXPathQuery.ExecuteXPath,XML XPath,High,XML traversal,
JSON Path,data,Text.ParseText.Parse,JSON Path,Medium,JSON traversal,
Read Environment Config,configuration,XML.ReadFromFile,Config Read,Low,Configuration loading,
Write Environment Config,configuration,File.WriteText,Config Write,Low,Configuration persistence,
Invoke Python,code,Scripting.RunPythonScript,Python Script,High,Python execution,
Invoke PowerShell,code,Scripting.RunPowershellScript.RunScript,PowerShell Script,Medium,PowerShell execution,
Invoke CMD,code,Scripting.RunDOSCommand.RunDOSCommand,CMD Execution,Low,Shell execution,
Terminal Emulator IBM,terminal,TerminalEmulation.OpenTerminalSession.OpenSession,IBM Terminal,Very High,IBM mainframe integration,
Terminal Emulator AS400,terminal,TerminalEmulation.OpenTerminalSession.OpenSession,AS400 Emulator,Very High,AS400 integration,
Read From Clipboard OCR,ocr,PDF.ExtractTextFromPDF.ExtractText,Clipboard OCR,High,Clipboard OCR extraction,
Image Template Match,ocr,UIAutomation.SelectTab,Template Matching,Very High,Computer vision matching,
Browser Screenshot,browser,UIAutomation.TakeScreenshotOfUIElement.TakeScreenshotOfUIElement,Browser Screenshot,Low,Browser capture,
Browser PDF,browser,FTP.CreateDirectory,Browser PDF Export,Medium,Browser export,
Excel Formula Fill,excel,Excel.AutoFillCells.AutoFillCellsFromCoordinates,Excel Formula Fill,Medium,Formula propagation,
Excel Conditional Formatting,excel,Excel.AppendCells.AppendCellsActiveSheetColumn,Excel Conditional Formatting,Medium,Conditional formatting,
Excel Chart Create,excel,Excel.AddWorksheet,Excel Chart,High,Chart generation,
Database Stored Procedure,database,Database.ExecuteSqlStatement.ConnectAndExecute,Stored Procedure,High,Procedure execution,
Database Bulk Insert,database,Variables.AddRowToDataTable.AppendRowToDataTable,Bulk Insert,High,Bulk DB operation,
REST API Authentication,api,Web.InvokeWebService.InvokeWebService,REST Authentication,High,Token generation,
SOAP Request,api,Web.InvokeSoapService.InvokeSoapService,SOAP Request,Medium,SOAP integration,
Multi Factor Authentication,security,Exchange.SendMessage,MFA Handling,Very High,Authentication handling,
CAPTCHA Handling,security,COMMENT,CAPTCHA Handling,Very High,Human validation dependency,
Human In The Loop,workflow,COMMENT,Human Validation,Very High,Manual intervention workflow,
Approval Workflow,workflow,Display.ShowMessageDialog.ShowMessage,Approval Workflow,High,Business approval orchestration,
Retry Scope,control_flow,Conditionals.Switch,Retry Command,High,Retry a group of actions until condition succeeds,
Multiple Assign,data,Variables.SetVariable,Variable Operation,Low,Multiple variable assignments in one activity,
Add To Collection,data,Variables.AddItemToList,List Add,Low,Add item to collection,
Clear Collection,data,Variables.ClearList,List Clear,Low,Clear all items from collection,
Exists In Collection,data,Conditionals.If,List Contains,Low,Check if collection contains item,
Remove From Collection,data,Variables.RemoveItemFromList.RemoveItemFromListByIndex,List Remove,Low,Remove item from collection,
Get Row Item,data,Variables.DeleteRowFromDataTable,Dataset Get Cell,Low,Get value from DataRow column,
Set Row Item,data,Variables.JoinDataTable,Dataset Set Cell,Low,Set value in DataRow column,
Find Children,ui_automation,UIAutomation.GetWindow.Get,Find Objects,High,Find child UI elements under parent selector,
Get Position,ui_automation,WebAutomation.GetDetailsOfElement,Get Object Position,Medium,Get UI element position,
Set Clipping Region,ui_automation,FlowControl.Region,Set Region,High,Limit OCR or image operation to selected region,
On Element Appear,ui_trigger,Cmd.WaitForText,Wait Object,Medium,Trigger/wait when UI element appears,
On Element Vanish,ui_trigger,SAP.GetSapElementDetail,Wait Object Disappear,Medium,Trigger/wait when UI element disappears,
On Image Appear,ui_trigger,UIAutomation.SelectTab,Image Exists,High,Trigger/wait when image appears,
On Image Vanish,ui_trigger,Cmd.WaitForText,Image Wait Disappear,High,Trigger/wait when image disappears,
Wait Element Vanish,ui_validation,SAP.GetSapElementDetail,Wait Object Disappear,Medium,Wait until UI element vanishes,
Wait Image Vanish,ui_validation,Cmd.WaitForText,Image Wait Disappear,High,Wait until image disappears,
Wait Text Vanish,ui_validation,Workstation.ControlScreenSaver,Text Wait Disappear,High,Wait until text disappears,
Wait Attribute,ui_validation,Cmd.WaitForText,Wait Object Attribute,High,Wait until UI attribute changes,
Load Image,image_processing,Word.ReadFromWord.ReadPage,Image Load,Low,Load image file into variable,
Save Image,image_processing,Word.SaveWord.Save,Image Save,Low,Save image variable to file,
Get OCR Text,ocr,PDF.ExtractTextFromPDF.ExtractText,OCR Capture,High,Extract text using OCR engine,
Excel Application Scope,excel,Excel.LaunchExcel.LaunchAndOpen,Excel Open,Medium,Classic Excel scope container,
Read Row,excel,Excel.ReadFromExcel.ReadAllCells,Excel Get Row,Low,Read entire row from worksheet,
Read Column,excel,Excel.ReadFromExcel.ReadAllCells,Excel Get Column,Low,Read entire column from worksheet,
Write Row,excel,Excel.WriteToExcel.Write,Excel Set Row,Low,Write values into worksheet row,
Write Column,excel,Excel.WriteToExcel.Write,Excel Set Column,Low,Write values into worksheet column,
Get Cell Color,excel,COMMENT,Excel Get Cell Color,Medium,Read cell background color,
Set Range Color,excel,Excel.AppendCells.AppendCellsActiveSheetColumn,Excel Set Range Color,Medium,Apply color formatting to range,
Insert Picture,excel,Excel.AddWorksheet,Excel Insert Image,Medium,Insert image into worksheet,
Get Workbook Sheet,excel,Excel.GetAllWorksheets,Excel Get Worksheet,Low,Get specific worksheet by name,
Data Extraction Scope,document_understanding,Folder.Copy,Document Data Extraction,Very High,Document Understanding extraction scope,
Classify Document Scope,document_understanding,SAP.EndTransaction,Document Classification,Very High,Document classification scope,
Digitize Document,document_understanding,Folder.Copy,Document Digitize,Very High,Digitize document into text and DOM,
Load Taxonomy,document_understanding,XML.ReadFromFile,Load Taxonomy,Medium,Load Document Understanding taxonomy,
Present Validation Station,document_understanding,Display.ShowCustomDialog,Validation Station,Very High,Human validation station,
Present Classification Station,document_understanding,Display.ShowCustomDialog,Classification Station,Very High,Human classification station,
Export Extraction Results,document_understanding,Variables.ConvertCustomObjectToJson,Export Extraction Results,High,Export extracted document results,
Keyword Based Classifier,document_understanding,SAP.EndTransaction,Keyword Classifier,Very High,Classify documents using keywords,
Intelligent Keyword Classifier,document_understanding,SAP.EndTransaction,Intelligent Keyword Classifier,Very High,Intelligent keyword-based document classifier,
Regex Based Extractor,document_understanding,Text.EscapeForRegularExpression,Regex Extractor,High,Extract document fields using regex,
Create Document Validation Action,document_understanding,Display.ShowCustomDialog,Create Validation Task,Very High,Create human validation action,
Wait for Document Validation Action and Resume,document_understanding,FlowControl.Wait,Wait Validation Task,Very High,Wait for validation action completion,
Create Document Classification Action,document_,,,,,
ShouldStop,control_flow,Variables.SetVariable,Set Variable,Low,Orchestrator stop signal check → Set ShouldStop = %False% (or use file flag/shared variable if not using Orchestrator),
AddLogFields,logging,Manual Review Required,Log Message,Medium,Orchestrator-specific log field enrichment. No direct PAD equivalent — add business process name manually to log messages.,
TerminateWorkflow,control_flow,FlowControl.StopFlow,Stop Bot,Medium,,
